Rate (nm/s),Curvature (/nm),Species
0.0195508835509029,0.0408438853919506,1
0.0169526929870559,0.037054006010294,1
0.0169120536799532,0.0380243547260761,1
0.0306269167923676,0.0228912364691496,0
0.0226898907784969,0.0364899076521397,1
0.0288880659637656,0.0235601775348186,0
0.0223039418117851,0.0133828809484839,0
0.020850546488965,0.0126992110162973,0
0.022924212355041,0.0112389903515577,0
0.0137087377504619,0.026678079739213,0
0.0200255686016656,0.0192112009972334,0
0.0166760886331283,0.0322492048144341,1
0.0222865377294909,0.0260167326778173,1
0.0227021678786703,0.0410088188946247,1
0.021726124941846,0.0385231859982014,1
0.024840600746814,0.0362003669142723,1
0.0208717647121358,-0.0024741308297962,0
0.0185207736617021,2.21190439333441e-05,0
0.0175532939834355,0.00906095746904612,1
0.0169015455281244,0.0170415416359901,1
0.0164609431085308,0.0219325460493565,1
0.0131960095196946,0.028136819601059,1
0.0276412886939887,0.00192844157572836,0
0.025786488494386,1.69339728017803e-05,0
0.00555668244401849,0.0366927459836006,1
0.0179272046234694,0.0203844252973795,0
0.00661561959759308,0.0359957590699196,1
0.0166452338173129,0.0247259438037872,1
0.0113470497404197,0.0413450933992863,1
0.0126995028164553,0.021143164485693,0
0.0128962360021227,0.0324920639395714,1
0.0124733830922172,0.0135044064372778,0
0.0137225294580247,0.0195259097963572,0
0.0235126524766391,0.00908333901315928,0
0.0202339276024978,0.0307354852557182,1
0.0197952769033079,0.0307804010808468,1
0.0186473818771707,0.0258174259215593,1
0.0200682663770182,0.0296530220657587,1
0.0258335784486283,0.0358385555446148,1
0.0260634845644451,0.00467699067667127,0
0.0235635817011688,0.0314579494297504,1
0.0226620312718043,0.0171256624162197,1
0.0195338691278414,-0.00045447624870576,0
0.0249548677081472,0.000847988587338477,0
0.00884276363817613,0.0314639732241631,1
0.0221970687709343,0.00344415963627398,0
0.016862720531074,0.0262931473553181,0
0.0204887274660377,0.0208585765212774,0
0.0139523475450413,0.0376882664859295,1
0.0126838943043412,0.0433921813964844,1
0.00828567145097363,0.0276309754699469,1
0.0122535945898546,0.0201798230409622,1
0.0100429578026536,0.0352569781243801,1
0.0136042993672529,0.0233054924756288,1
0.0202829868153071,0.0109854340553284,0
0.0245454578579635,0.00669898698106408,0
0.0247248324682504,0.00567774474620819,0
0.0155424625606266,0.0209580361843109,0
0.0273908513666145,0.00671595660969615,0
0.0170019685004483,0.0194899775087833,0
0.0215901479652347,0.0343828797340393,1
0.0245753854217063,0.0357707850635052,1
0.0236930237488609,0.0287563074380159,1
0.0198375830147103,0.0403923355042934,1
